"State","Occupation","Pixels","State.Pixels","PixPercent","Number","CensusPercent"
"Ohio","School",201,592.341463414634,33.9331301984683,645624,31.6839942351094
"Ohio","Unaccounted",122.341463414634,592.341463414634,20.6538746602981,551184.631205149,27.0493827329604
"Oregon","Agriculture",125,600.192904656319,20.8266374077809,13248,21.4836977700905
"Oregon","Manufacturing",85,600.192904656319,14.162113437291,8694,14.0986766616219
"Oregon","Trade",24,600.192904656319,3.99871438229394,2619,4.24711688253828
"Oregon","Service",59,600.192904656319,9.8301728564726,6090,9.87588461804434
"Oregon","School",168,600.192904656319,27.9910006760576,18077,29.3146742595053
"Oregon","Unaccounted",139.192904656319,600.192904656319,23.1913612401039,12937.3619957537,20.9799498081996
"Pennsylvania","Agriculture",67,617.827050997783,10.8444587998852,260051,10.2895763081847
"Pennsylvania","Manufacturing",89,617.827050997783,14.4053258685042,356240,14.0955376600271
"Pennsylvania","Trade",33,617.827050997783,5.34130060292851,121253,4.79768197813627
"Pennsylvania","Service",70,617.827050997783,11.3300315819696,283000,11.1976116039402
"Pennsylvania","School",181,617.827050997783,29.2962245190927,724999,28.6864212552829
"Pennsylvania","Unaccounted",177.827050997783,617.827050997783,28.7826586276199,781781.665381476,30.9331711944288
"Rhode Island","Agriculture",46,608.354767184035,7.5613774201073,11780,6.72682969377595
"Rhode Island","Manufacturing",176,608.354767184035,28.9304875204105,47007,26.8427914614029
"Rhode Island","Trade",33,608.354767184035,5.42446641007698,10108,5.77205386627227
"Rhode Island","Service",75,608.354767184035,12.3283327501749,19679,11.2374602329216
"Rhode Island","School",126,608.354767184035,20.7115990202939,34910,19.9349426663598
"Rhode Island","Unaccounted",152.354767184035,608.354767184035,25.0437368789363,51635.6408450704,29.4859220792674
"South Carolina","Agriculture",287,627.070953436807,45.7683454204074,206654,43.4733231034493
"South Carolina","Manufacturing",18,627.070953436807,2.87048856295238,13794,2.90181181534826
"South Carolina","Trade",13,627.070953436807,2.07313062879894,8470,1.78181427258227
"South Carolina","Service",45,627.070953436807,7.17622140738095,34383,7.23307203473389
"South Carolina","School",56,627.070953436807,8.93040886251852,41565,8.74393273198133
"South Carolina","Unaccounted",208.070953436807,627.070953436807,33.1814051179418,170492.185773481,35.866046041905
"South West Territory","Agriculture",162,630.527716186253,25.6927643054071,NA,NA
"South West Territory","Manufacturing",54,630.527716186253,8.56425476846903,NA,NA
"South West Territory","Trade",22,630.527716186253,3.48914083159849,NA,NA
"South West Territory","Service",86,630.527716186253,13.6393687053396,NA,NA
"South West Territory","School",84,630.527716186253,13.3221740842852,NA,NA
"South West Territory","Unaccounted",222.527716186253,630.527716186253,35.2922973049007,NA,NA
"Tennessee","Agriculture",222,635.988913525499,34.9062688482068,267020,31.5017398126313
"Tennessee","Manufacturing",24,635.988913525499,3.77365068629263,29061,3.42847749492502
"Tennessee","Trade",13,635.988913525499,2.04406078840851,17510,2.06574587715967
"Tennessee","Service",49,635.988913525499,7.70453681784744,54396,6.41737936801698
"Tennessee","School",97,635.988913525499,15.2518381904327,120705,14.2401973787868
"Tennessee","Unaccounted",230.988913525499,635.988913525499,36.319644668812,358943.722941666,42.3464600684802
"Texas","Agriculture",218,638.022172949002,34.1680915245284,166753,30.933379177644
"Texas","Manufacturing",20,638.022172949002,3.13468729582829,15879,2.94562093612594
"Texas","Trade",19,638.022172949002,2.97795293103688,13612,2.52508295122781
"Texas","Service",55,638.022172949002,8.62039006352781,40882,7.58378204614275
"Texas","School",84,638.022172949002,13.1656866424788,65199,12.0946872860051
"Texas","Unaccounted",242.022172949002,638.022172949002,37.9331915425998,236746.399352693,43.9174476028544
"Vermont","Agriculture",144,612.039911308204,23.5278774046299,57983,22.3823700501473
"Vermont","Manufacturing",57,612.039911308204,9.31311813933268,22616,8.73013954183348
"Vermont","Trade",23,612.039911308204,3.7579248632395,7132,2.7530666436309
"Vermont","Service",53,612.039911308204,8.65956598920407,21032,8.11869007975954
"Vermont","School",173,612.039911308204,28.2661304930624,70199,27.0979424167478
"Vermont","Unaccounted",162.039911308204,612.039911308204,26.4753831105315,80094.5693896143,30.917791267881
"Virginia","Agriculture",205,636.290465631929,32.2179902218722,244550,28.934750557631
"Virginia","Manufacturing",42,636.290465631929,6.60075897228601,49413,5.84646423759649
"Virginia","Trade",19,636.290465631929,2.98605763031986,20181,2.3877824616788
"Virginia","Service",79,636.290465631929,12.4157133050142,98521,11.6568413808561
"Virginia","School",52,636.290465631929,8.17236825140173,70840,8.38167135351699
"Virginia","Unaccounted",239.290465631929,636.290465631929,37.607111619106,361672.495181497,42.7924900087206
"West Virginia","Agriculture",164,621.017738359202,26.4082633828313,73960,24.3971155486421
"West Virginia","Manufacturing",40,621.017738359202,6.44103984947104,17673,5.82977586656507
"West Virginia","Trade",18,621.017738359202,2.89846793226197,6897,2.27510689479428
"West Virginia","Service",36,621.017738359202,5.79693586452394,16699,5.50848340382335
"West Virginia","School",179,621.017738359202,28.8236533263829,82193,27.1129275052669
"West Virginia","Unaccounted",184.017738359202,621.017738359202,29.6316396445289,105728.591112056,34.8765907809082
"Wisconsin","Agriculture",134,599.858093126386,22.338616672088,159687,21.3418257049405
"Wisconsin","Manufacturing",46,599.858093126386,7.66848035011976,53517,7.15243248511963
"Wisconsin","Trade",19,599.858093126386,3.1674157967886,21534,2.87797300174834
"Wisconsin","Service",51,599.858093126386,8.50201082295887,58070,7.76093118842418
"Wisconsin","School",214,599.858093126386,35.6751042375137,260602,34.8288994242417
"Wisconsin","Unaccounted",135.858093126386,599.858093126386,22.6483721205311,194824.955189583,26.0379381955257
"Arizona","Agriculture",NA,NA,NA,1285,16.6826597426056
"Arizona","Manufacturing",NA,NA,NA,1039,13.488936554527
"Arizona","Trade",NA,NA,NA,591,7.67272522013999
"Arizona","Service",NA,NA,NA,3115,40.4408444344096
"Arizona","School",NA,NA,NA,149,1.9344095732671
"Arizona","Unaccounted",NA,NA,NA,1523.60869565217,19.7804244750508
"Colorado","Agriculture",NA,NA,NA,6462,21.6895896753186
"Colorado","Manufacturing",NA,NA,NA,4681,15.7116944088775
"Colorado","Trade",NA,NA,NA,2815,9.44849813308912
"Colorado","Service",NA,NA,NA,3625,12.1672489280455
"Colorado","School",NA,NA,NA,2616,8.78055812297021
"Colorado","Unaccounted",NA,NA,NA,9594.09473684211,32.202410731699
"Dakota","Agriculture",NA,NA,NA,2522,23.3516370649031
"Dakota","Manufacturing",NA,NA,NA,457,4.23144256092812
"Dakota","Trade",NA,NA,NA,204,1.88887151516266
"Dakota","Service",NA,NA,NA,2704,25.0368067499992
"Dakota","School",NA,NA,NA,1128,10.4443483779583
"Dakota","Unaccounted",NA,NA,NA,3785.09933774834,35.0468937310486
"Idaho","Agriculture",NA,NA,NA,1462,10.4817033464331
"Idaho","Manufacturing",NA,NA,NA,7273,52.1432479060248
"Idaho","Trade",NA,NA,NA,721,5.16915739588119
"Idaho","Service",NA,NA,NA,1423,10.2020956648251
"Idaho","School",NA,NA,NA,466,3.34095332382889
"Idaho","Unaccounted",NA,NA,NA,2603.11464968153,18.6628423630069
"Montana","Agriculture",NA,NA,NA,2111,11.1097432041914
"Montana","Manufacturing",NA,NA,NA,8030,42.2601790287339
"Montana","Trade",NA,NA,NA,1233,6.48901628174706
"Montana","Service",NA,NA,NA,2674,14.0726922444377
