Year,State,Area.name,Baptist,Christian,Congregational,Episcopal,Evangelical.Association,Friends,Jewish,Lutheran,Methodist,Mormon,New.Jerusalem,Presbyterian,Reformed.Late.Dutch,Reformed.Late.German,Roman.Catholic,Second.Adventist,Unitarian,United.Brethren.in.Christ,Universalist,Total
1870,New Mexico Territory,SW Territories,300,0,0,0,0,0,0,0,300,0,0,250,0,0,80710,0,0,0,0,81560
1870,New York,New York,333086,28175,111785,204290,7300,24910,21400,70133,606098,0,1950,349870,147033,3450,271285,3120,8850,1850,41610,2282876
1870,North Carolina,North Carolina,249765,16200,150,22955,0,11250,200,23290,300045,0,0,77155,0,9300,3300,0,0,0,600,718310
1870,Ohio,Ohio,202870,167625,87150,51150,33500,26050,4000,131050,714146,0,1350,293945,700,88900,160700,300,3100,85350,20750,2085586
1870,Oregon,Oregon,4750,4400,2300,1800,550,0,0,300,15100,0,0,5675,0,0,2750,0,250,500,NA,39425
1870,Pennsylvania,Pennsylvania,288310,27500,14450,94182,80545,43725,7750,339128,446463,0,1950,423850,5300,270835,197115,725,2050,60860,6725,2332288
1870,Rhode Island,Rhode Island,34886,3050,18500,17155,0,5514,NA,400,14605,0,675,500,0,0,19108,3370,3450,0,2770,125183
1870,South Carolina,South Carolina,191550,200,300,35350,0,300,900,17900,164050,0,0,67100,300,0,10775,0,750,0,850,491425
1870,Tennessee,Tennessee,255376,55455,525,12940,0,1900,1100,9875,336433,0,0,188970,0,0,13850,0,0,1600,0,878524
1870,Texas,Texas,61700,4450,500,11400,0,0,400,7650,69100,0,0,27600,0,0,16000,0,0,0,0,199100
1870,Utah Territory,SW Territories,0,0,0,460,0,0,0,0,300,85350,0,NA,0,0,0,0,0,0,0,86110
1870,Vermont,Vermont,43245,4350,75925,11223,0,1280,0,0,60325,0,0,3356,0,0,25000,4450,1900,0,19710,270614
1870,Virginia,Virginia,256830,29225,0,60105,0,4925,1890,25350,270617,0,550,70065,100,5900,9800,0,0,7700,0,765127
1870,Washington Territory,NW Territories,0,250,250,500,0,0,0,0,2200,0,0,600,0,0,1785,40,0,275,0,6000
1870,West Virginia,West Virginia,62850,6400,0,7355,300,0,NA,7300,152865,0,0,27320,0,600,16800,NA,0,13800,300,297315
1870,Wisconsin,Wisconsin,42980,1450,44960,21200,24175,375,750,36780,103240,NA,800,23930,1015,3260,104000,650,1900,5650,3150,423015
1870,Wyoming Territory,NW Territories,300,0,300,750,0,0,0,0,600,0,0,750,0,0,800,0,0,0,0,3500
